iter	Logloss	Accuracy
0	0.67908402	0.7811447811
1	0.6617477937	0.8097643098
2	0.6471596479	0.8047138047
3	0.6328963051	0.8063973064
4	0.618038914	0.8097643098
5	0.6055943066	0.8063973064
6	0.5949933696	0.8063973064
7	0.5833991793	0.8097643098
8	0.5710526845	0.8181818182
9	0.5622828312	0.8131313131
10	0.5529754815	0.8114478114
11	0.5455286741	0.8114478114
12	0.538089271	0.8114478114
13	0.5299927886	0.8114478114
14	0.5229817482	0.8148148148
15	0.5148693428	0.8131313131
16	0.5082246715	0.8181818182
17	0.5025951581	0.8181818182
18	0.4982948125	0.8164983165
19	0.4933811725	0.8181818182
20	0.4877896238	0.8164983165
21	0.4839463791	0.8164983165
22	0.4793423416	0.8148148148
23	0.4752933246	0.8131313131
24	0.4709580482	0.8164983165
25	0.467646968	0.8181818182
26	0.4634931435	0.8198653199
27	0.4614160221	0.8198653199
28	0.4581184725	0.8198653199
29	0.455374887	0.8215488215
30	0.4522247871	0.8232323232
31	0.4489548553	0.8232323232
32	0.4462454425	0.8249158249
33	0.4428260213	0.8265993266
34	0.4410853573	0.8249158249
35	0.4391109487	0.8249158249
36	0.4365582416	0.8265993266
37	0.4349794846	0.8249158249
38	0.4324171341	0.8282828283
39	0.4298495217	0.82996633
40	0.4282617816	0.82996633
41	0.4271012379	0.8282828283
42	0.4247867805	0.82996633
43	0.4220960785	0.8316498316
44	0.4191493482	0.835016835
45	0.4175336632	0.835016835
46	0.4159961848	0.835016835
47	0.4137205251	0.835016835
48	0.4118618819	0.835016835
49	0.4106269001	0.8367003367
50	0.4094762745	0.8400673401
51	0.4076122415	0.8400673401
52	0.4073647894	0.8400673401
53	0.4053736809	0.8417508418
54	0.4039319444	0.8434343434
55	0.4025542641	0.8434343434
56	0.4014956752	0.8434343434
57	0.4005121284	0.8451178451
58	0.3983319412	0.8451178451
59	0.3973877415	0.8468013468
60	0.3958838027	0.8468013468
61	0.3953346239	0.8468013468
62	0.3947879277	0.8484848485
63	0.3941314888	0.8501683502
64	0.3919593522	0.8518518519
65	0.3899959491	0.8518518519
66	0.389194993	0.8518518519
67	0.3878672596	0.8518518519
68	0.3867103904	0.8518518519
69	0.3854570801	0.8518518519
70	0.3836151949	0.8518518519
71	0.3826790414	0.8518518519
72	0.381378663	0.8518518519
73	0.3805641164	0.8501683502
74	0.3796622318	0.8518518519
75	0.3791241307	0.8518518519
76	0.3787703068	0.8518518519
77	0.3784548846	0.8518518519
78	0.377696341	0.8518518519
79	0.3768541323	0.8535353535
80	0.3759575444	0.8535353535
81	0.3751730467	0.8518518519
82	0.3742266727	0.8535353535
83	0.3734940472	0.8535353535
84	0.3724656374	0.8535353535
85	0.3716451583	0.8535353535
86	0.3715577596	0.8552188552
87	0.3705045953	0.8552188552
