iter	Passed	Remaining
0	3	3115
1	5	2705
2	7	2443
3	8	2122
4	10	2069
5	13	2299
6	17	2509
7	21	2653
8	25	2789
9	26	2642
10	29	2645
11	33	2760
12	37	2869
13	39	2803
14	43	2843
15	44	2719
16	46	2666
17	47	2610
18	49	2564
19	51	2527
20	53	2487
21	55	2462
22	57	2447
23	62	2551
24	67	2620
25	71	2676
26	76	2738
27	80	2780
28	81	2728
29	85	2762
30	88	2779
31	90	2743
32	92	2716
33	94	2678
34	96	2648
35	98	2629
36	100	2603
37	102	2583
38	103	2556
39	106	2561
40	110	2585
41	114	2601
42	118	2630
43	121	2643
44	125	2657
45	129	2680
46	130	2645
47	134	2661
48	137	2675
49	139	2650
50	141	2631
51	143	2615
52	145	2599
53	147	2581
54	149	2566
55	151	2549
56	154	2553
57	156	2545
58	159	2550
59	163	2563
60	167	2581
61	171	2591
62	175	2605
63	179	2622
64	183	2633
65	186	2632
66	189	2637
67	193	2648
68	196	2655
69	197	2624
70	200	2620
71	204	2640
72	209	2655
73	212	2664
74	217	2679
75	222	2700
76	226	2711
77	230	2723
78	232	2707
79	236	2715
80	238	2700
81	239	2685
82	242	2674
83	244	2661
84	246	2649
85	248	2645
86	253	2663
87	257	2671
88	262	2682
89	266	2698
90	270	2706
91	274	2712
92	278	2715
93	282	2722
94	285	2717
95	286	2702
96	287	2677
97	289	2666
98	291	2655
99	293	2645
100	297	2651
101	302	2661
102	303	2640
103	306	2643
104	309	2638
105	312	2635
106	316	2640
107	319	2642
108	324	2651
109	328	2661
110	331	2658
111	334	2648
112	335	2636
113	337	2626
114	339	2616
115	341	2604
116	345	2608
117	346	2590
118	350	2592
119	354	2601
120	359	2609
121	364	2620
122	367	2621
123	371	2627
124	376	2633
125	379	2630
126	381	2620
127	383	2610
128	385	2600
129	386	2584
130	388	2575
131	389	2561
132	394	2570
133	398	2576
134	402	2580
135	407	2586
136	410	2585
137	413	2584
138	417	2585
139	421	2587
140	425	2593
141	427	2585
142	429	2576
143	430	2561
144	432	2552
145	434	2544
146	435	2528
147	438	2523
148	442	2526
149	446	2527
150	449	2526
151	452	2525
152	456	2527
153	462	2538
154	528	2881
155	532	2879
156	536	2880
157	539	2875
158	544	2878
159	548	2881
160	552	2879
161	555	2874
162	559	2873
163	560	2858
164	565	2859
165	569	2861
166	573	2859
167	576	2856
168	580	2855
169	587	2867
170	590	2861
171	593	2854
172	597	2854
173	601	2853
174	604	2849
175	608	2848
176	612	2848
177	616	2846
178	617	2832
179	618	2817
180	620	2808
181	622	2798
182	624	2789
183	626	2779
184	628	2769
185	630	2760
186	634	2758
187	637	2755
188	641	2753
189	644	2746
190	648	2745
191	651	2742
192	653	2730
193	657	2729
194	660	2727
195	664	2725
196	666	2717
197	667	2703
198	669	2693
199	671	2684
200	672	2673
201	674	2665
202	676	2655
203	678	2647
204	682	2646
205	685	2641
206	689	2643
207	693	2641
208	695	2631
209	699	2630
210	702	2627
211	706	2625
212	710	2623
213	711	2613
214	713	2604
215	715	2595
216	717	2587
217	719	2580
218	721	2572
219	723	2564
220	725	2557
