iter	Passed	Remaining
0	3	3930
1	5	2715
2	7	2649
3	10	2495
4	13	2783
5	16	2703
6	18	2649
7	21	2621
8	23	2571
9	25	2562
10	28	2561
11	30	2480
12	32	2438
13	33	2393
14	36	2388
15	38	2366
16	41	2375
17	43	2392
18	46	2410
19	48	2365
20	50	2373
21	53	2389
22	56	2399
23	59	2399
24	61	2386
25	62	2332
26	64	2337
27	65	2289
28	68	2285
29	70	2294
30	73	2300
31	75	2271
32	78	2306
33	82	2354
34	86	2392
35	89	2400
36	93	2440
37	96	2452
38	99	2442
39	101	2445
40	106	2479
41	108	2485
42	112	2493
43	115	2500
44	115	2459
45	118	2456
46	121	2458
47	124	2467
48	126	2463
49	130	2474
50	133	2486
51	137	2502
52	140	2517
53	144	2523
54	147	2542
55	151	2548
56	154	2550
57	156	2545
58	159	2544
59	161	2522
60	163	2519
61	166	2518
62	169	2515
63	171	2514
64	174	2510
65	177	2506
66	179	2496
67	182	2500
68	185	2501
69	187	2495
70	188	2471
71	191	2469
72	194	2464
73	196	2458
74	198	2452
75	201	2455
76	205	2464
77	208	2460
78	212	2473
79	214	2466
80	217	2465
81	219	2461
82	222	2456
83	225	2456
84	228	2460
85	229	2440
86	232	2437
87	234	2433
88	237	2426
89	239	2420
90	241	2417
91	244	2412
92	245	2395
93	248	2391
94	250	2385
95	253	2382
96	255	2378
97	257	2372
98	260	2373
99	262	2358
100	263	2341
101	265	2338
102	268	2336
103	271	2339
104	274	2340
105	275	2327
106	278	2324
107	279	2309
108	281	2304
109	284	2301
110	285	2285
111	288	2285
112	290	2283
113	293	2284
114	296	2281
115	299	2279
116	301	2276
117	303	2270
118	306	2266
119	309	2266
120	311	2265
121	314	2266
122	317	2261
123	320	2262
124	322	2259
125	325	2255
126	327	2254
127	330	2252
128	331	2237
129	334	2235
130	336	2232
131	339	2232
132	342	2230
133	343	2223
134	345	2213
135	348	2211
136	350	2210
137	353	2209
138	356	2206
139	359	2205
140	361	2204
141	365	2205
142	366	2198
143	369	2196
144	372	2195
145	375	2194
146	377	2188
147	379	2185
148	382	2182
149	384	2180
150	387	2177
151	389	2171
152	391	2166
153	393	2164
154	396	2159
155	398	2155
156	400	2151
157	403	2148
158	404	2138
159	406	2135
160	408	2131
161	412	2132
162	415	2135
163	418	2133
164	419	2122
165	422	2120
166	424	2117
167	425	2107
168	428	2105
169	430	2102
170	433	2100
171	436	2100
172	439	2100
173	442	2098
174	444	2097
175	447	2095
176	450	2093
177	451	2087
178	454	2085
179	457	2083
180	460	2082
181	463	2082
182	466	2081
183	469	2083
184	473	2084
185	474	2075
186	477	2074
187	478	2066
188	481	2066
189	483	2062
190	486	2062
191	490	2064
192	493	2064
193	496	2063
194	500	2065
195	503	2064
196	506	2062
197	509	2062
198	512	2061
199	515	2060
200	517	2058
201	521	2058
202	522	2050
203	525	2049
204	528	2048
205	529	2039
206	532	2038
207	533	2031
208	536	2031
209	538	2026
210	541	2026
211	544	2025
212	547	2022
213	550	2022
214	553	2021
215	556	2019
216	558	2016
217	561	2014
218	565	2016
219	569	2019
220	570	2012
221	574	2011
222	575	2004
223	577	2002
224	580	2000
225	584	2002
226	587	2000
227	590	1999
228	593	1998
229	594	1991
230	597	1989
231	598	1982
232	601	1980
233	603	1977
234	606	1974
235	609	1972
236	611	1969
237	614	1967
238	617	1965
239	620	1963
240	623	1962
241	625	1960
242	628	1956
243	629	1950
244	631	1946
245	634	1943
246	636	1941
247	639	1939
248	642	1936
249	645	1935
250	647	1933
251	649	1927
252	651	1924
253	654	1921
254	656	1918
255	659	1916
256	661	1913
257	664	1910
258	666	1908
259	669	1905
260	672	1903
261	675	1901
262	677	1898
263	680	1897
264	682	1892
265	685	1890
266	687	1887
267	690	1885
268	693	1884
269	694	1877
270	697	1875
271	700	1873
272	702	1871
273	705	1869
274	708	1866
275	710	1864
276	713	1861
277	715	1859
278	718	1857
279	719	1850
280	722	1848
281	725	1845
282	727	1843
283	730	1842
284	733	1841
285	736	1838
286	739	1836
287	741	1834
288	744	1831
289	747	1829
290	749	1827
291	752	1825
292	757	1827
293	761	1827
294	764	1827
295	767	1825
296	770	1823
297	774	1823
298	777	1823
299	782	1825
300	786	1825
301	790	1825
302	793	1825
303	796	1824
304	800	1824
305	804	1823
306	808	1824
307	811	1824
308	815	1824
309	819	1823
310	823	1823
311	826	1823
312	829	1821
313	833	1821
314	837	1820
315	840	1819
316	843	1817
317	847	1816
318	850	1815
319	853	1814
320	856	1812
321	859	1810
322	863	1808
323	866	1808
324	869	1806
325	872	1804
326	876	1803
327	879	1801
328	883	1801
329	886	1799
330	889	1797
331	891	1794
332	895	1792
333	898	1791
334	913	1813
335	916	1810
336	919	1808
337	921	1805
338	924	1802
339	927	1799
340	929	1796
341	932	1794
342	935	1792
343	939	1791
344	942	1788
345	944	1785
346	948	1784
347	951	1782
348	953	1779
349	957	1777
350	960	1775
351	963	1773
352	966	1771
353	969	1768
354	972	1766
355	975	1764
356	978	1762
357	982	1762
358	986	1760
359	989	1758
360	992	1756
361	995	1754
362	998	1752
363	1001	1750
364	1004	1747
365	1007	1744
366	1010	1742
367	1013	1739
368	1015	1736
369	1018	1733
370	1022	1732
371	1025	1730
372	1028	1729
373	1030	1725
374	1033	1722
375	1036	1720
376	1039	1718
377	1042	1715
378	1045	1713
379	1049	1712
380	1052	1709
381	1054	1706
382	1058	1704
383	1061	1702
384	1064	1701
385	1067	1698
386	1070	1695
387	1074	1694
388	1077	1691
389	1080	1689
390	1083	1687
391	1086	1685
392	1089	1683
393	1092	1680
394	1096	1679
395	1100	1678
396	1103	1675
397	1106	1673
398	1108	1670
399	1111	1667
400	1115	1666
401	1119	1664
402	1123	1664
403	1126	1661
404	1129	1658
405	1132	1656
406	1135	1654
407	1138	1652
408	1141	1649
409	1144	1647
410	1147	1644
411	1150	1642
412	1153	1639
413	1156	1637
414	1159	1634
415	1162	1632
416	1166	1630
417	1168	1627
418	1171	1624
419	1174	1622
420	1178	1620
421	1180	1616
422	1183	1614
423	1186	1611
424	1188	1608
425	1192	1606
426	1194	1603
427	1197	1600
428	1200	1598
429	1203	1595
430	1206	1592
431	1209	1589
432	1212	1587
433	1214	1584
434	1217	1581
435	1220	1578
436	1223	1575
437	1226	1573
438	1229	1570
439	1232	1568
440	1235	1565
441	1237	1562
442	1240	1559
443	1243	1556
444	1245	1553
445	1248	1550
446	1251	1548
447	1254	1545
448	1257	1543
